boundaryID,boundaryName,boundaryISO,boundaryYearRepresented,boundaryType,boundaryCanonical,boundarySource,boundaryLicense,licenseDetail,licenseSource,boundarySourceURL,sourceDataUpdateDate,buildDate,Continent,UNSDG-region,UNSDG-subregion,worldBankIncomeGroup,admUnitCount,meanVertices,minVertices,maxVertices,meanPerimeterLengthKM,minPerimeterLengthKM,maxPerimeterLengthKM,meanAreaSqKM,minAreaSqKM,maxAreaSqKM,staticDownloadLink,gjDownloadURL,tjDownloadURL,imagePreview,simplifiedGeometryGeoJSON
ABW-ADM0-13396579,Aruba,ABW,2021,ADM0,Unknown,Sentinel-2 10m LandCover,Creative Commons Attribution 4.0 (CC BY 4.0),,sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,livingatlas.arcgis.com/landcover/,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,High-income Countries,1,7342,7342,7342,106.1760313638457,106.1760313638457,106.1760313638457,178.36365546825027,178.36365546825027,178.36365546825027,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0_simplified.geojson
AFG-ADM0-77858471,Afghanistan,AFG,2014,ADM0,"افغانستان‎ , Afġānistān","geoBoundaries, ArcGIS Hub",Public Domain,license was officially a custom license simply described as open on ArcGIS Hub. No other restrictions were included so collector decided on public domain as the official license.,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Asia,Central and Southern Asia,Southern Asia,Low-income Countries,1,24152,24152,24152,6764.639274869378,6764.639274869378,6764.639274869378,641868.3336187901,641868.3336187901,641868.3336187901,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0_simplified.geojson
AFG-ADM1-12653393,Afghanistan,AFG,2007,ADM1,Wilayat,"Wikimedia, geoBoundaries",Public Domain,,commons.wikimedia.org/wiki/File,en.wikipedia.org/wiki/Provinces_of_Afghanistan,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Asia,Central and Southern Asia,Southern Asia,Low-income Countries,34,120,47,252,753.497179240414,242.63699168745265,1863.826397275971,18951.3840016042,2263.463281797879,59942.64204500234,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1_simplified.geojson
AFG-ADM2-17698898,Afghanistan,AFG,2014,ADM2,wuleswali,"Afghanistan Information Management Services, Esri Disaster Response Program",Public Domain,license was officially a custom license simply described as open on ArcGIS Hub. No other restictions were included so collector decided on public domain as the official license.,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Asia,Central and Southern Asia,Southern Asia,Low-income Countries,398,456,41,4186,211.36255677918683,23.91387259926247,1125.5361139790675,1612.7345191649663,25.829733767853835,21643.737829034635,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2_simplified.geojson
AGO-ADM0-71192764,Angola,AGO,2021,ADM0,República de Angola,Open Street Map,Creative Commons Attribution-ShareAlike 2.0,,osm-boundaries.com/Documentation,osm-boundaries.com/,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Africa,Sub-Saharan Africa,Middle Africa,Lower-middle-income Countries,1,47140,47140,47140,7612.336381383424,7612.336381383424,7612.336381383424,1282739.2096402124,1282739.2096402124,1282739.2096402124,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0_simplified.geojson
AGO-ADM1-26408823,Angola,AGO,2021,ADM1,Province,U.S. Census Bureau,Public Domain,,www.census.gov/geographies/mapping-files/time-series/demo/international-programs/subnationalpopulation.html,www.census.gov/geographies/mapping-files/time-series/demo/international-programs/subnationalpopulation.html,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Africa,Sub-Saharan Africa,Middle Africa,Lower-middle-income Countries,18,8154,436,30778,1470.5506777405328,693.8960845401504,2847.5719594219645,69301.17669739896,6990.237838433679,199954.2679369335,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1_simplified.geojson
AGO-ADM2-91424787,Angola,AGO,2006,ADM2,Municipality,"geoBoundaries, Wikimedia Commons",Public Domain,,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Africa,Sub-Saharan Africa,Middle Africa,Lower-middle-income Countries,158,2815,225,14253,457.0493467270941,83.63532088506805,1508.532023573609,7897.78601830581,233.08480387562423,46083.3045590951,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2_simplified.geojson
AGO-ADM3-77060369,Angola,AGO,2014,ADM3,Communes,"geoBoundaries, Instituto Nacional de Estatística, República de Angola; citypopulation.de",Creative Commons Attribution 3.0 License,,www.citypopulation.de/termsofuse.html,www.citypopulation.de/en/angola/communes/admin/,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Africa,Sub-Saharan Africa,Middle Africa,Lower-middle-income Countries,558,370,11,11576,210.74180729204403,11.406280396389564,901.4580956378352,2235.5215982849872,6.1412364347866335,19012.802268385407,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3_simplified.geojson
AIA-ADM0-96724787,Anguilla,AIA,2021,ADM0,Anguilla,raster2polygon from Sentinel-2 10m Land Cover where Image Year = 2021 / exclude gridcode = 1 (water) / dissolve / processed by IMB,Creative Commons Attribution 4.0 International (CC BY 4.0),,sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,env1.arcgis.com/arcgis/rest/services/Sentinel2_10m_LandCover/ImageServer,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,No income group available,1,8715,8715,8715,171.6155894823486,171.6155894823486,171.6155894823486,74.61983162624907,74.61983162624907,74.61983162624907,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0_simplified.geojson
ALB-ADM0-44221866,Albania,ALB,2003,ADM0,Shqipëria,"geoBoundaries, Wikipedia",Public Domain,,en.wikipedia.org/wiki/Outline_of_Albania#/media/File,en.wikipedia.org/wiki/Outline_of_Albania#/media,Thu Jan 19 07:31:04 2023,"Dec 12, 2023",Europe,Europe and Northern America,Southern Europe,Upper-middle-income Countries,1,1196,1196,1196,1224.0472234972842,1224.0472234972842,1224.0472234972842,28783.89585375772,28783.89585375772,28783.89585375772,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0-all.zip,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0.topojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0-PREVIEW.png,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0_simplified.geojson
